Carimbo de data/hora,Idade ,Cidade em que reside,Curso,Ano do curso
17/11/2021 13:23:11,21,Terra Rica,Engenharia de Software,3
17/11/2021 13:40:59,39,Paranavaí,Eng software,3
17/11/2021 14:16:53,20,Paranavaí,Engenharia de Software,3
17/11/2021 19:40:17,17,Paranavaí,Informática,3
17/11/2021 19:40:18,22,Paranavaí,Engenharia de Software,1°
17/11/2021 19:40:34,20,Paranavaí,Engenharia de Software,1
17/11/2021 19:40:42,20,Paranavaí,Engenharia de Software,2
17/11/2021 19:40:42,17,Paranavaí,Informática,3
17/11/2021 19:40:44,17,Santo Antônio do Caiuá,Informática,3
17/11/2021 19:40:49,17,Paranavai,Informatica,3
17/11/2021 19:40:50,Vinicius Koiti Nakahara,Alto Paraná ,Engenharia de Software,1
17/11/2021 19:41:16,17,Paranavai,Tecnico em informatica,3
17/11/2021 19:41:27,18,Paranavaí,Integrado Informática,3
17/11/2021 19:41:41,18,Paranavaí,Informática,4
17/11/2021 19:41:56,29,Paranavaí,Engenharia de Software,01